home_team_name,away_team_name,match_descr,score
Poland,Greece,Round 1,1-1
Russia,Czech Republic,Round 1,4-1
Netherlands,Denmark,Round 1,0-1
Germany,Portugal,Round 1,1-0
Spain,Italy,Round 1,1-1
Ireland,Croatia,Round 1,1-3
France,England,Round 1,1-1
Ukraine,Sweden,Round 1,2-1
Czech Republic,Greece,Round 2,2-1
Poland,Russia,Round 2,1-1
Denmark,Portugal,Round 2,2-3
Netherlands,Germany,Round 2,1-2
Italy,Croatia,Round 2,1-1
Spain,Ireland,Round 2,4-0
Ukraine,France,Round 2,0-2
Sweden,England,Round 2,2-3
Czech Republic,Poland,Round 3,1-0
Greece,Russia,Round 3,1-0
Denmark,Germany,Round 3,1-2
Portugal,Netherlands,Round 3,2-1
Croatia,Spain,Round 3,0-1
Italy,Ireland,Round 3,2-0
England,Ukraine,Round 3,1-0
Sweden,France,Round 3,2-0
Czech Republic,Portugal,QF 1,0-1
Germany,Greece,QF 2,4-2
Spain,France,QF 3,2-0
England,Italy,QF 4,2-4
